2025-03-20 16:14:34,223 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 50
2025-03-20 16:14:38,213 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 51
2025-03-20 16:14:39,269 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 52
2025-03-20 16:14:39,269 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 53
2025-03-20 16:14:44,159 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 54
2025-03-20 16:14:44,160 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 55
2025-03-20 16:14:44,161 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 56
2025-03-20 16:14:49,256 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 57
2025-03-20 16:14:49,257 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 58
2025-03-20 16:14:49,260 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 59
2025-03-20 16:14:54,294 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 60
2025-03-20 16:14:54,295 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 61
2025-03-20 16:14:54,296 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 62
2025-03-20 16:14:59,238 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 63
2025-03-20 16:14:59,239 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 64
2025-03-20 16:14:59,240 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 65
2025-03-20 16:15:04,184 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 66
2025-03-20 16:15:04,190 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 67
2025-03-20 16:15:04,191 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 68
2025-03-20 16:15:09,222 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 69
2025-03-20 16:15:09,223 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 70
2025-03-20 16:15:09,224 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 71
2025-03-20 16:15:14,143 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 72
2025-03-20 16:15:14,146 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 73
2025-03-20 16:15:14,147 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 74
2025-03-20 16:15:18,182 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 75
2025-03-20 16:15:19,193 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 76
2025-03-20 16:15:19,193 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 77
2025-03-20 16:15:24,169 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 78
2025-03-20 16:15:24,171 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 79
2025-03-20 16:15:24,172 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 80
2025-03-20 16:15:28,212 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 81
2025-03-20 16:15:29,225 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 82
2025-03-20 16:15:33,143 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 83
2025-03-20 16:15:44,253 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 84
2025-03-20 16:15:44,254 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 85
2025-03-20 16:15:49,143 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 86
2025-03-20 16:15:49,147 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 87
2025-03-20 16:15:49,148 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 88
2025-03-20 16:15:59,262 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 89
2025-03-20 16:16:08,160 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 90
2025-03-20 16:16:09,173 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 91
2025-03-20 16:16:09,175 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 92
2025-03-20 16:16:14,174 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 93
2025-03-20 16:16:14,175 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 94
2025-03-20 16:16:14,176 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 95
2025-03-20 16:16:15,195 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 96
2025-03-20 16:16:19,141 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 97
2025-03-20 16:16:19,144 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 98
2025-03-20 16:17:00,398 - TRADE ENTRY - Type: LONG, Entry Price: 19780.75, Stop Loss: 19761.00, Take Profit: 19790.15, Symbol: NQH5, Order ID: 1
2025-03-20 16:20:31,234 - TRADE ENTRY - Type: LONG, Entry Price: 19780.75, Stop Loss: 19761.00, Take Profit: 19790.15, Symbol: NQH5, Order ID: 1
2025-03-20 16:22:19,064 - TRADE ENTRY - Type: LONG, Entry Price: 19780.75, Stop Loss: 19761.00, Take Profit: 19790.15, Symbol: NQH5, Order ID: 2
